08, 20,   24.900,  51.1167,   7.2667,   174.73, -13.62,-148.75,   5.72,   0.00,   0.00,   0.00
08, 20,   28.300,  51.1167,   7.2667,   174.73, -13.63,-149.86,   6.12,   0.00,   0.00,   0.00
08, 20,   29.700,  51.1167,   7.2667,   174.73, -13.62,-150.27,   6.27,   0.00,   0.00,   0.00
08, 21,    3.500,  51.1167,   7.2667,   174.73,  35.45, -82.63,  41.90,   0.00,   0.00,   0.00
08, 21,    5.300,  51.1167,   7.2667,   174.73,  35.81, -85.87,  42.80,   0.00,   0.00,   0.00
08, 21,    7.100,  51.1167,   7.2667,   174.73,  24.52, -99.70,  37.52,   0.00,   0.00,   0.00
08, 21,   10.100,  51.1167,   7.2667,   174.73,   6.46,-120.83,  22.77,   0.00,   0.00,   0.00
08, 21,   14.100,  51.1167,   7.2667,   174.73,  -5.17,-135.36,  11.69,   0.00,   0.00,   0.00
08, 21,   18.100,  51.1167,   7.2667,   174.73, -11.41,-143.76,   7.41,   0.00,   0.00,   0.00
08, 21,   21.100,  51.1167,   7.2667,   174.73, -13.16,-146.84,   5.61,   0.00,   0.00,   0.00
08, 21,   24.900,  51.1167,   7.2667,   174.73, -13.58,-148.70,   5.77,   0.00,   0.00,   0.00
08, 21,   28.300,  51.1167,   7.2667,   174.73, -13.57,-149.81,   6.17,   0.00,   0.00,   0.00
08, 21,   29.700,  51.1167,   7.2667,   174.73, -13.57,-150.23,   6.32,   0.00,   0.00,   0.00
08, 22,    3.500,  51.1167,   7.2667,   174.73,  35.25, -82.84,  41.69,   0.00,   0.00,   0.00
08, 22,    5.300,  51.1167,   7.2667,   174.73,  35.60, -86.08,  43.93,   0.00,   0.00,   0.00
08, 22,    7.100,  51.1167,   7.2667,   174.73,  17.26,-106.97,  30.33,   0.00,   0.00,   0.00
08, 22,   10.100,  51.1167,   7.2667,   174.73,   2.54,-124.74,  16.66,   0.00,   0.00,   0.00
08, 22,   14.100,  51.1167,   7.2667,   174.73,  -8.26,-138.44,   8.87,   0.00,   0.00,   0.00
08, 22,   18.100,  51.1167,   7.2667,   174.73, -12.78,-145.13,   6.11,   0.00,   0.00,   0.00
08, 22,   21.100,  51.1167,   7.2667,   174.73, -13.61,-147.29,   5.18,   0.00,   0.00,   0.00
08, 22,   24.900,  51.1167,   7.2667,   174.73, -13.60,-148.72,   5.75,   0.00,   0.00,   0.00
08, 22,   28.300,  51.1167,   7.2667,   174.73, -13.59,-149.83,   6.15,   0.00,   0.00,   0.00
08, 22,   29.700,  51.1167,   7.2667,   174.73, -13.59,-150.25,   6.30,   0.00,   0.00,   0.00
08, 23,    3.500,  51.1167,   7.2667,   174.73,  35.53, -82.55,  41.97,   0.00,   0.00,   0.00
08, 23,    5.300,  51.1167,   7.2667,   174.73,  35.88, -85.80,  44.18,   0.00,   0.00,   0.00
08, 23,    7.100,  51.1167,   7.2667,   174.73,  13.55,-110.68,  27.56,   0.00,   0.00,   0.00
08, 23,   10.100,  51.1167,   7.2667,   174.73,  -0.02,-127.31,  14.44,   0.00,   0.00,   0.00
